fold,origin_timestamp,school_id,method,n_train_school,n_test_school,mae_p50,pinball_mean,cov50_p25_p75,cov80_p10_p90,cov90_p05_p95,width80_p10_p90,alpha_lo,alpha_hi,cov80_unc_on_calib,abs_err_cov80
1,2023-05-30,S1,per_school,8640,673,1.4289576621015028,0.4579009377146544,0.22585438335809807,0.5200594353640416,0.6077265973254086,2.740962482399518,,,,
1,2023-05-30,S10,per_school,8640,673,0.6404046222062565,0.20102768378999827,0.14710252600297177,0.4175334323922734,0.5423476968796433,1.4602941220497012,,,,
1,2023-05-30,S11,per_school,8640,673,1.6863332197733818,0.5581465458574705,0.3387815750371471,0.6389301634472511,0.7845468053491828,4.4584346200351614,,,,
1,2023-05-30,S12,per_school,8640,673,1.1170894312605781,0.3057712505376316,0.35958395245170877,0.7325408618127786,0.8573551263001485,3.0177701518901947,,,,
1,2023-05-30,S13,per_school,8640,673,1.396818822764537,0.3848011833044796,0.2852897473997028,0.6032689450222882,0.6523031203566122,2.9775928600156054,,,,
1,2023-05-30,S14,per_school,8640,673,1.0999990479633317,0.3531529934244547,0.3298662704309064,0.7488855869242199,0.8915304606240714,4.312749121435686,,,,
1,2023-05-30,S15,per_school,8640,673,1.017995039757241,0.3079296388430661,0.2912332838038633,0.5364041604754829,0.7414561664190193,2.1367848567978327,,,,
1,2023-05-30,S16,per_school,8640,673,0.8835557511119551,0.2919671724517659,0.3699851411589896,0.6151560178306092,0.7578008915304606,2.52527086383073,,,,
1,2023-05-30,S17,per_school,8640,673,2.7980486969747336,0.9618343347956365,0.2511144130757801,0.5289747399702823,0.6240713224368499,4.1701699432232875,,,,
1,2023-05-30,S18,per_school,8640,673,1.2342656646100767,0.41767792801067954,0.524517087667162,0.7548291233283804,0.826151560178306,2.758193356866176,,,,
1,2023-05-30,S19,per_school,8640,673,1.823878523064656,0.5670528532971012,0.10401188707280833,0.4487369985141159,0.5913818722139673,2.507830953334778,,,,
1,2023-05-30,S2,per_school,8640,673,1.85994634005607,0.5377447732071455,0.29569093610698366,0.5572065378900446,0.7206537890044576,4.677721101900317,,,,
1,2023-05-30,S20,per_school,8640,673,0.5236598956220553,0.16402407672753627,0.41901931649331353,0.6820208023774146,0.7771173848439822,1.4025530197346963,,,,
1,2023-05-30,S21,per_school,8640,673,2.2295666803759,0.5520207408980217,0.37444279346210996,0.6849925705794948,0.8172362555720654,3.460432181406794,,,,
1,2023-05-30,S22,per_school,8640,673,0.8542434275962463,0.2441406104519265,0.5111441307578009,0.7176820208023774,0.8395245170876672,2.5962669910316394,,,,
