method,folds,mae_p50_mean,mae_p50_std,pinball_mean,pinball_std,cov50_mean,cov80_mean,cov90_mean,width80_mean,abs_err_cov80_mean_per_school,abs_err_cov80_median_per_school,abs_err_cov80_p90_per_school,alpha_lo_mean,alpha_hi_mean
naive_1day,12,1.1630925427679915,0.3802033273885412,,,,,,,,,,,
naive_1week,12,1.135382460587731,0.2633434743191928,,,,,,,,,,,
per_school,12,1.006477823286152,0.32968774467896683,0.299324485326128,0.09873623654498843,0.437062528619623,0.7057575672619548,0.8100194379806928,2.7474048913198694,,,,,
pooled,12,1.440681249869261,0.5169254181783255,0.4468645597836211,0.15862696259782322,0.5046025026400142,0.7956652368536637,0.8950325679628435,4.315230169090376,,,,,
two_stage_cal_asymm,12,1.1143390336337151,0.3023014882478838,0.3690191218239769,0.09765116390287466,0.5416538170400068,0.7896259123234928,0.8643219602455914,3.8061648696883577,0.08494210659115758,0.0677563150074294,0.1729569093610699,1.1422955974842768,0.7578616352201258
