fold,origin_timestamp,end_timestamp,method,mae_p50,pinball_mean,cov50_p25_p75,cov80_p10_p90,cov90_p05_p95,width80_p10_p90,fit_time_sec
1,2023-05-30,2023-06-13,naive_1day,1.562666881605876,,,,,,0.0
1,2023-05-30,2023-06-13,naive_1week,1.1650925173119517,,,,,,0.0
1,2023-05-30,2023-06-13,pooled,2.1940375270437715,0.7100194792819853,0.4172530769015111,0.7022063977122992,0.8303849280888166,4.229891935322086,294.57164788246155
1,2023-05-30,2023-06-13,per_school,1.4874478250329155,0.45427342769578594,0.33482856261739885,0.624688104516527,0.7471193473324175,2.9646565847178583,148.3950879573822
1,2023-05-30,2023-06-13,two_stage_cal_asymm,1.5016604346945017,0.5133523677017194,0.44214864448120217,0.6783481454484286,0.7868457203734335,3.2618799622462378,18.825939893722534
2,2023-06-13,2023-06-27,naive_1day,1.32065280776024,,,,,,0.0
2,2023-06-13,2023-06-27,naive_1week,1.349858700832656,,,,,,0.0
2,2023-06-13,2023-06-27,pooled,1.9129362186469927,0.5814483214390822,0.47820236059323223,0.7699683198295438,0.8787182146962348,4.5638019213226935,318.31554985046387
2,2023-06-13,2023-06-27,per_school,1.2357636377059096,0.3424902163977964,0.43228013120636966,0.6870111301129833,0.795732989430598,3.1816771452716948,159.19781112670898
2,2023-06-13,2023-06-27,two_stage_cal_asymm,1.3639873966553189,0.44176017150266617,0.5017522218172643,0.7456614987804536,0.8309736746194174,3.906360362749634,20.264137983322144
3,2023-06-27,2023-07-11,naive_1day,0.46514802769912256,,,,,,0.0
3,2023-06-27,2023-07-11,naive_1week,1.20878998570187,,,,,,0.0
3,2023-06-27,2023-07-11,pooled,0.7319573487957318,0.23140909816701893,0.5269842159858701,0.7889203510050744,0.8832319380975077,3.12021531548475,349.30868911743164
3,2023-06-27,2023-07-11,per_school,0.5349416945757679,0.16654835363541395,0.4222994757352323,0.6366312484230003,0.7475398805685609,1.4409141394903375,174.51592803001404
3,2023-06-27,2023-07-11,two_stage_cal_asymm,0.6189712708578826,0.20445376137873847,0.5158821385516835,0.7805937929294345,0.8561215621407945,2.5288580355947268,21.807764768600464
4,2023-07-11,2023-07-25,naive_1day,1.2253371274776417,,,,,,0.0
4,2023-07-11,2023-07-25,naive_1week,1.5681085816815723,,,,,,0.0
4,2023-07-11,2023-07-25,pooled,1.483240353472203,0.4653956928282611,0.4757352322745241,0.7805096862822059,0.8740643135495809,3.825437245412856,376.8829913139343
4,2023-07-11,2023-07-25,per_school,1.153562271388978,0.430190243927215,0.40259048473464354,0.6337996579663012,0.7285598138439542,1.7952882256879212,198.32247710227966
4,2023-07-11,2023-07-25,two_stage_cal_asymm,1.2376988007315528,0.39783670737952775,0.48369732821217304,0.766071378507948,0.8500378479912529,3.1639527478970444,24.005627870559692
5,2023-07-25,2023-08-08,naive_1day,1.5545477865934005,,,,,,0.0
5,2023-07-25,2023-08-08,naive_1week,1.1572321904174494,,,,,,0.0
5,2023-07-25,2023-08-08,pooled,2.1970262438460244,0.6769545081297247,0.45885783173063444,0.7623146149317335,0.8717373629762539,5.075399851910085,415.52581095695496
5,2023-07-25,2023-08-08,per_school,1.5105768936711375,0.4255845998280835,0.4565589167063837,0.7281953517059632,0.8303568925397404,4.402020579960447,213.17676997184753
5,2023-07-25,2023-08-08,two_stage_cal_asymm,1.517782306519128,0.48803067963510527,0.5657854159073705,0.8121057500911155,0.8918108161148336,5.441656334262213,26.534728050231934
6,2023-08-08,2023-08-22,naive_1day,1.7024198884185149,,,,,,0.0
6,2023-08-08,2023-08-22,naive_1week,1.409522975132468,,,,,,0.0
6,2023-08-08,2023-08-22,pooled,1.7444283087594854,0.5286964231971708,0.49210799293504165,0.7910230171857916,0.89332473576495,5.166556044999269,443.91409826278687
6,2023-08-08,2023-08-22,per_school,1.1415553384026054,0.3128704523581412,0.49151924640444083,0.766071378507948,0.8641958002747484,3.6563465142584666,226.60309720039368
6,2023-08-08,2023-08-22,two_stage_cal_asymm,1.2424971702141152,0.40510180613744395,0.5822142476660406,0.8279177997701085,0.8987916678348146,5.077149087736313,27.52619171142578
7,2023-08-22,2023-09-05,naive_1day,1.4643529395273207,,,,,,0.0
7,2023-08-22,2023-09-05,naive_1week,1.2349181361966974,,,,,,0.0
7,2023-08-22,2023-09-05,pooled,1.8998230182761588,0.5654748498357242,0.48369732821217304,0.7998822506938799,0.8976982814208416,5.102146765130864,471.2244379520416
